yahoo.com, 72.30.35.10, 98.138.219.231
wikipedia.org, 208.80.153.224, 208.80.153.224
blogspot.com, 172.217.12.9, 172.217.12.9
bing.com, 204.79.197.200, 13.107.21.200
sina.com.cn, 123.126.55.41, 123.126.55.41
youku.com, 106.11.186.25, 106.11.186.25
andysayler.com, 138.197.228.157, 138.197.228.157
wmfo.org, 23.92.21.128, 23.92.21.128
facebook.com, 157.240.28.35, 157.240.28.35
msn.com, 13.82.28.61, 13.82.28.61
microsoft.com, 13.77.161.179, 40.76.4.15
taobao.com, 140.205.220.96, 140.205.220.96
soso.com, 119.28.109.132, 119.28.109.132
youtube.com, 172.217.12.14, 172.217.11.238
live.com, 204.79.197.212, 204.79.197.212
baidu.com, 39.156.69.79, 220.181.38.148
qq.com, 125.39.52.26, 125.39.52.26
163.com, 123.58.180.8, 123.58.180.8
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 193.104.215.58, 193.104.215.58
twitter.com, 104.244.42.65, 104.244.42.129
mozilla.com, 63.245.208.194, 63.245.208.194
sdjjdsaf.com, 63.245.208.194, 63.245.208.194
ifeng.com, 123.103.122.24, 123.103.122.24
goo.ne.jp, 153.254.147.65, 153.254.147.65
bbc.co.uk, 151.101.0.81, 151.101.0.81
yandex.ru, 5.255.255.55, 5.255.255.60
myspace.com, 63.135.90.70, 63.135.90.70
mail.ru, 94.100.180.201, 94.100.180.200
cnet.com, 35.190.79.82, 35.190.79.82
go.com, 23.236.60.174, 23.236.60.174
4399.com, 118.184.184.70, 118.184.184.70
orkut.com, 216.239.36.21, 216.239.34.21
skype.com, 40.115.34.155, 104.40.50.126
ameblo.jp, 151.101.1.83, 151.101.1.83
naver.com, 210.89.160.88, 125.209.222.142
flickr.com, 143.204.30.100, 143.204.30.100
4shared.com, 204.155.146.95, 204.155.149.43
amazon.co.jp, 52.119.168.48, 52.119.164.121
linkedin.com, 108.174.10.10, 108.174.10.10
dailymotion.com, 195.8.215.136, 195.8.215.136
imdb.com, 52.94.228.167, 52.94.225.248
aol.com, 188.125.72.165, 188.125.72.165
facebook.com, 157.240.28.35, 157.240.28.35
youtube.com, 172.217.11.238, 172.217.11.238
yahoo.com, 98.137.246.7, 72.30.35.9
live.com, 204.79.197.212, 204.79.197.212
wikipedia.org, 208.80.153.224, 208.80.153.224
msn.com, 13.82.28.61, 13.82.28.61
baidu.com, 39.156.69.79, 39.156.69.79
blogspot.com, 172.217.2.9, 172.217.12.9
microsoft.com, 104.215.148.63, 104.215.148.63
qq.com, 58.247.214.47, 58.250.137.36
taobao.com, 140.205.220.96, 140.205.220.96
bing.com, 204.79.197.200, 204.79.197.200
sina.com.cn, 123.126.55.41, 123.126.157.222
soso.com, 118.191.216.42, 118.191.216.42
163.com, 123.58.180.8, 123.58.180.7
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 193.104.215.58, 192.147.130.204
twitter.com, 104.244.42.1, 104.244.42.193
mozilla.com, 63.245.208.194, 63.245.208.194
youku.com, 106.11.186.25, 106.11.186.1
sdjjdsaf.com, 106.11.186.25, 106.11.186.1
andysayler.com, 138.197.228.157, 138.197.228.157
wmfo.org, 23.92.21.128, 23.92.21.128
amazon.com, 205.251.242.103, 176.32.103.205
wordpress.com, 192.0.78.17, 192.0.78.9
tudou.com, 106.11.47.19, 106.11.47.20
yahoo.co.jp, 183.79.135.206, 182.22.59.229
sohu.com, 211.159.191.18, 211.159.191.18
apple.com, 17.142.160.59, 17.142.160.59
hao123.com, 106.120.159.68, 106.120.159.68
windows.com, 13.77.161.179, 40.76.4.15
ebay.com, 66.135.195.175, 66.135.195.175
pps.tv, 116.211.199.234, 116.211.199.231
xunlei.com, 39.104.2.218, 121.41.61.107
56.com, 183.6.206.243, 183.6.206.243
fc2.com, 34.210.113.146, 52.32.199.173
paypal.com, 64.4.250.37, 64.4.250.36
sogou.com, 118.191.216.42, 118.191.216.42
tmall.com, 140.205.130.99, 140.205.130.99
ku6.com, 117.50.1.222, 117.50.1.222
rakuten.co.jp, 133.237.16.234, 133.237.16.234
about.com, 151.101.2.114, 151.101.66.114
orkut.com.br, 132.148.40.250, 132.148.40.250
goo.ne.jp, 153.254.147.65, 153.254.147.65
mail.ru, 217.69.139.202, 94.100.180.200
4399.com, 118.184.184.70, 118.184.184.70
flickr.com, 143.204.30.100, 143.204.30.100
4shared.com, 204.155.146.95, 204.155.149.42
amazon.co.jp, 52.119.164.121, 52.119.161.5
linkedin.com, 108.174.10.10, 108.174.10.10
dailymotion.com, 195.8.215.136, 195.8.215.136
imdb.com, 52.94.237.74, 52.94.225.248
aol.com, 188.125.72.165, 106.10.218.150
amazon.com, 205.251.242.103, 176.32.103.205
wordpress.com, 192.0.78.9, 192.0.78.9
tudou.com, 106.11.186.25, 106.11.186.25
yahoo.co.jp, 182.22.59.229, 182.22.59.229
sohu.com, 211.159.191.18, 211.159.191.18
apple.com, 17.142.160.59, 17.142.160.59
hao123.com, 106.120.159.68, 39.156.68.154
windows.com, 40.76.4.15, 104.215.148.63
ebay.com, 66.135.195.175, 66.135.195.175
pps.tv, 116.211.199.230, 116.211.199.230
xunlei.com, 112.124.227.84, 39.104.99.104
56.com, 183.6.206.243, 183.6.206.243
fc2.com, 34.210.113.146, 52.32.199.173
paypal.com, 64.4.250.36, 64.4.250.37
sogou.com, 118.191.216.57, 119.28.109.132
rakuten.co.jp, 133.237.16.234, 133.237.16.234
facebook.com, 157.240.28.35, 157.240.28.35
youtube.com, 172.217.1.206, 172.217.1.206
yahoo.com, 98.137.246.8, 98.137.246.7
msn.com, 13.82.28.61, 13.82.28.61
baidu.com, 220.181.38.148, 220.181.38.148
qq.com, 58.250.137.36, 125.39.52.26
163.com, 123.58.180.7, 123.58.180.7
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 193.104.215.58, 192.147.130.204
youku.com, 106.11.186.1, 106.11.186.1
andysayler.com, 138.197.228.157, 138.197.228.157
wmfo.org, 23.92.21.128, 23.92.21.128
bbc.co.uk, 151.101.0.81, 151.101.192.81
tmall.com, 140.205.94.193, 140.205.94.193
ku6.com, 117.50.1.222, 117.50.1.222
about.com, 151.101.66.114, 151.101.66.114
orkut.com.br, 132.148.40.250, 132.148.40.250
wikipedia.org, 208.80.153.224, 208.80.153.224
microsoft.com, 40.113.200.201, 40.76.4.15
bing.com, 13.107.21.200, 13.107.21.200
soso.com, 119.28.109.132, 118.191.216.57
ifeng.com, 123.103.122.24, 123.103.122.24
yandex.ru, 77.88.55.55, 77.88.55.55
myspace.com, 63.135.90.70, 63.135.90.70
cnet.com, 35.190.79.82, 35.190.79.82
go.com, 23.236.60.174, 23.236.60.174
orkut.com, 216.239.32.21, 216.239.34.21
skype.com, 40.121.80.200, 40.121.80.200
ameblo.jp, 151.101.65.83, 151.101.129.83
naver.com, 210.89.164.90, 210.89.160.88
live.com, 204.79.197.212, 204.79.197.212
blogspot.com, 172.217.11.233, 172.217.2.9
taobao.com, 140.205.220.96, 140.205.94.189
sina.com.cn, 123.126.157.222, 123.126.55.41
twitter.com, 104.244.42.1, 104.244.42.65
mozilla.com, 63.245.208.194, 63.245.208.194
sdjjdsaf.com, 63.245.208.194, 63.245.208.194
pps.tv, 116.211.199.231, 116.211.199.233
xunlei.com, 121.41.61.107, 39.104.99.104
56.com, 183.6.206.243, 183.6.206.243
fc2.com, 52.32.199.173, 52.32.199.173
paypal.com, 64.4.250.36, 64.4.250.36
sogou.com, 118.191.216.42, 118.191.216.57
tmall.com, 140.205.94.193, 140.205.94.193
ku6.com, 117.50.1.222, 117.50.1.222
rakuten.co.jp, 133.237.16.234, 133.237.16.234
about.com, 151.101.66.114, 151.101.194.114
orkut.com.br, 132.148.40.250, 132.148.40.250
360.cn, 36.110.213.10, 36.110.213.10
soku.com, 106.11.186.1, 106.11.47.19
renren.com, 120.133.2.242, 120.133.2.243
livedoor.jp, 203.104.153.16, 203.104.153.16
blogger.com, 172.217.12.9, 172.217.11.233
vkontakte.ru, 87.240.137.158, 87.240.139.194
answers.com, 151.101.128.203, 151.101.128.203
rapidshare.com, 0.0.0.0, 0.0.0.0
daum.net, 211.231.99.80, 203.133.167.16
7k7k.com, 106.75.22.155, 106.75.22.155
2345.com, 42.62.30.180, 42.62.30.180
photobucket.com, 209.17.68.100, 209.17.68.100
mediafire.com, 104.16.202.237, 104.16.203.237
ehow.com, 104.93.24.233, 104.93.24.233
seesaa.net, 59.106.28.142, 59.106.28.142
ifeng.com, 123.103.122.24, 123.103.122.24
goo.ne.jp, 153.254.147.65, 153.254.147.65
bbc.co.uk, 151.101.0.81, 151.101.64.81
yandex.ru, 77.88.55.60, 77.88.55.60
myspace.com, 63.135.90.70, 63.135.90.70
mail.ru, 217.69.139.202, 217.69.139.202
cnet.com, 35.190.79.82, 35.190.79.82
go.com, 23.236.60.174, 23.236.60.174
4399.com, 118.184.184.70, 118.184.184.70
orkut.com, 216.239.34.21, 216.239.38.21
skype.com, 40.121.80.200, 23.102.255.237
ameblo.jp, 151.101.1.83, 151.101.129.83
naver.com, 210.89.160.88, 125.209.222.142
flickr.com, 143.204.30.100, 143.204.30.100
4shared.com, 204.155.149.41, 204.155.149.43
amazon.co.jp, 52.119.164.121, 52.119.168.48
linkedin.com, 108.174.10.10, 108.174.10.10
dailymotion.com, 195.8.215.136, 195.8.215.136
imdb.com, 52.94.225.248, 52.94.225.248
aol.com, 106.10.218.150, 188.125.72.165
amazon.com, 176.32.103.205, 176.32.98.166
wordpress.com, 192.0.78.17, 192.0.78.9
tudou.com, 106.11.186.25, 106.11.47.20
yahoo.co.jp, 182.22.59.229, 183.79.135.206
sohu.com, 211.159.191.18, 211.159.191.18
apple.com, 17.172.224.47, 17.172.224.47
hao123.com, 202.106.2.86, 39.156.68.154
windows.com, 40.113.200.201, 40.112.72.205
ebay.com, 66.135.195.175, 66.135.195.175
facebook.com, 157.240.28.35, 157.240.28.35
youtube.com, 172.217.2.14, 172.217.1.206
yahoo.com, 72.30.35.9, 98.137.246.8
live.com, 204.79.197.212, 204.79.197.212
wikipedia.org, 208.80.153.224, 208.80.153.224
msn.com, 13.82.28.61, 13.82.28.61
baidu.com, 220.181.38.148, 39.156.69.79
blogspot.com, 172.217.12.9, 172.217.11.233
microsoft.com, 104.215.148.63, 40.76.4.15
qq.com, 58.250.137.36, 125.39.52.26
taobao.com, 140.205.94.189, 140.205.220.96
bing.com, 204.79.197.200, 204.79.197.200
sina.com.cn, 123.126.55.41, 123.126.157.222
soso.com, 118.191.216.57, 118.191.216.57
163.com, 123.58.180.7, 123.58.180.8
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 192.147.130.204, 192.147.130.204
twitter.com, 104.244.42.1, 104.244.42.1
mozilla.com, 63.245.208.194, 63.245.208.194
youku.com, 106.11.186.1, 106.11.47.19
sdjjdsaf.com, 106.11.186.1, 106.11.47.19
andysayler.com, 138.197.228.157, 138.197.228.157
wmfo.org, 23.92.21.128, 23.92.21.128
hotmail.com, 204.79.197.212, 204.79.197.212
craigslist.org, 208.82.237.129, 208.82.237.129
weather.com, 2.22.64.30, 2.22.64.30
alibaba.com, 47.88.68.115, 205.204.101.142
megaupload.com, 47.88.68.115, 205.204.101.142
hao123.com, 106.120.159.68, 202.106.2.86
ebay.com, 66.135.196.249, 66.135.195.175
xunlei.com, 39.104.99.104, 39.104.2.218
paypal.com, 64.4.250.36, 64.4.250.37
tmall.com, 140.205.94.193, 140.205.94.193
ku6.com, 117.50.1.222, 117.50.1.222
about.com, 151.101.66.114, 151.101.130.114
orkut.com.br, 132.148.40.250, 132.148.40.250
craigslist.org, 208.82.237.129, 208.82.237.129
livedoor.jp, 203.104.153.16, 203.104.153.16
photobucket.com, 209.17.68.100, 209.17.68.100
ehow.com, 104.93.24.233, 104.93.24.233
soku.com, 106.11.186.1, 106.11.47.20
answers.com, 151.101.64.203, 151.101.64.203
rapidshare.com, 0.0.0.0, 0.0.0.0
2345.com, 42.62.30.180, 42.62.30.180
ifeng.com, 123.103.122.24, 123.103.122.24
myspace.com, 63.135.90.70, 63.135.90.70
cnet.com, 35.190.79.82, 35.190.79.82
go.com, 23.236.60.174, 23.236.60.174
skype.com, 23.102.255.237, 40.121.80.200
naver.com, 125.209.222.142, 125.209.222.142
4shared.com, 204.155.149.41, 204.155.146.95
linkedin.com, 108.174.10.10, 108.174.10.10
imdb.com, 52.94.237.74, 52.94.225.248
360.cn, 36.110.213.10, 36.110.213.10
vkontakte.ru, 87.240.190.72, 93.186.225.208
mediafire.com, 104.16.203.237, 104.16.202.237
seesaa.net, 59.106.98.142, 59.106.98.142
sohu.com, 211.159.191.18, 211.159.191.18
twitter.com, 104.244.42.193, 104.244.42.193
mozilla.com, 63.245.208.194, 63.245.208.194
andysayler.com, 138.197.228.157, 138.197.228.157
4399.com, 118.184.184.70, 118.184.184.70
aol.com, 188.125.72.165, 67.195.231.10
windows.com, 13.77.161.179, 40.113.200.201
pps.tv, 116.211.199.232, 116.211.199.230
fc2.com, 52.32.199.173, 34.210.113.146
sogou.com, 118.191.216.57, 118.191.216.42
amazon.com, 176.32.98.166, 176.32.98.166
tudou.com, 106.11.47.20, 106.11.47.20
apple.com, 17.142.160.59, 17.178.96.59
facebook.com, 157.240.28.35, 157.240.28.35
youtube.com, 172.217.1.206, 172.217.11.238
live.com, 204.79.197.212, 204.79.197.212
msn.com, 13.82.28.61, 13.82.28.61
blogspot.com, 172.217.2.9, 172.217.2.9
qq.com, 58.250.137.36, 125.39.52.26
163.com, 123.58.180.7, 123.58.180.7
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 193.104.215.58, 193.104.215.58
youku.com, 106.11.47.19, 106.11.186.1
wmfo.org, 23.92.21.128, 23.92.21.128
goo.ne.jp, 153.254.147.65, 153.254.147.65
orkut.com, 216.239.36.21, 216.239.38.21
amazon.co.jp, 52.119.164.121, 52.119.161.5
dailymotion.com, 195.8.215.136, 195.8.215.136
56.com, 183.6.206.243, 183.6.206.243
rakuten.co.jp, 133.237.16.234, 133.237.16.234
alibaba.com, 205.204.101.142, 198.11.136.127
blogger.com, 172.217.1.201, 172.217.11.233
daum.net, 211.231.99.17, 203.133.167.81
7k7k.com, 106.75.22.155, 106.75.22.155
yahoo.com, 98.137.246.8, 98.137.246.8
wikipedia.org, 208.80.153.224, 208.80.153.224
baidu.com, 220.181.38.148, 220.181.38.148
microsoft.com, 40.76.4.15, 13.77.161.179
taobao.com, 140.205.94.189, 140.205.94.189
sina.com.cn, 123.126.55.41, 123.126.157.222
bbc.co.uk, 151.101.0.81, 151.101.0.81
yandex.ru, 77.88.55.55, 5.255.255.60
mail.ru, 94.100.180.201, 217.69.139.202
ameblo.jp, 151.101.65.83, 151.101.1.83
flickr.com, 143.204.30.100, 143.204.30.100
hotmail.com, 204.79.197.212, 204.79.197.212
renren.com, 120.133.2.243, 120.133.2.242
wordpress.com, 192.0.78.17, 192.0.78.9
yahoo.co.jp, 182.22.59.229, 182.22.59.229
bing.com, 204.79.197.200, 13.107.21.200
soso.com, 118.191.216.42, 119.28.109.132
sdjjdsaf.com, 118.191.216.42, 119.28.109.132
weather.com, 92.122.16.151, 104.70.226.241
megaupload.com, 92.122.16.151, 104.70.226.241
facebook.com, 157.240.28.35, 157.240.28.35
youtube.com, 172.217.1.206, 172.217.1.206
yahoo.com, 98.137.246.8, 98.138.219.232
live.com, 204.79.197.212, 204.79.197.212
wikipedia.org, 208.80.153.224, 208.80.153.224
msn.com, 13.82.28.61, 13.82.28.61
baidu.com, 220.181.38.148, 39.156.69.79
blogspot.com, 172.217.12.9, 172.217.11.233
microsoft.com, 104.215.148.63, 40.113.200.201
qq.com, 58.250.137.36, 125.39.52.26
taobao.com, 140.205.94.189, 140.205.94.189
bing.com, 13.107.21.200, 204.79.197.200
sina.com.cn, 123.126.157.222, 123.126.55.41
soso.com, 118.191.216.57, 119.28.109.132
163.com, 123.58.180.8, 123.58.180.8
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 192.147.130.204, 192.147.130.204
twitter.com, 104.244.42.129, 104.244.42.129
mozilla.com, 63.245.208.194, 63.245.208.194
youku.com, 106.11.47.19, 106.11.47.19
sdjjdsaf.com, 106.11.47.19, 106.11.47.19
andysayler.com, 138.197.228.157, 138.197.228.157
wmfo.org, 23.92.21.128, 23.92.21.128
